voyageID,captainName,fromPlace,toPlace,voyageStartDate,nationality,shipName
17622,H. Rollfs,Amsterdam,Batavia,1838-12-18,Dutch,Stad Utrecht,,
17623,H. Rollfs,Amsterdam,Batavia,1839-12-06,Dutch,Stad Utrecht,,
17624,F.H.J. Taski,Amsterdam,Batavia,1844-03-22,Dutch,Stad Utrecht,,
17625,F.H.J. Taski,Amsterdam,Batavia,1845-05-26,Dutch,Stad Utrecht,,
17626,Duntjer,Amsterdam,Batavia,1845-07-01,Dutch,Nassau,,
17627,Duntjer,Amsterdam,Batavia,1846-07-12,Dutch,Nassau,,
17628,F.H.J. Taski,Amsterdam,Batavia,1847-05-05,Dutch,Stad Utrecht,,
17629,F.H.J. Taski,Amsterdam,Batavia,1848-09-02,Dutch,Stad Utrecht,,
17630,Ten Boekel,Amsterdam,Batavia,1849-07-01,Dutch,Nassau,,
17631,B. Bakker,Amsterdam,Batavia,1853-03-14,Dutch,Oost-Indi Packet,,
17632,G. Mulder,Amsterdam,Batavia,1853-08-05,Dutch,Straat Bali,,
17633,Velthoven,Amsterdam,Batavia-Soerabaya,1846-05-30,Dutch,Prins Veldmaarschalk,,
17634,Dirk Hallersteede,Amsterdam,Curacao,1754-11-18,Dutch,Dolphijn,,ADM
17635,Dirk Hallersteede,Amsterdam,Curacao,1755-04-27,Dutch,Dolphijn,,ADM
17636,Geweldige,Amsterdam,Curacao,1760-09-05,Dutch,Phoenix,,MER
17637,Van Helsdinge,Amsterdam,Funchal,1771-01-11,Dutch,Boreas,6th Rate,ADM
17638,C.D. Hartman,Amsterdam,Kaapstad,1802-09-26,Dutch,Spion,,MAR
17639,J.G. Reinitz,Amsterdam,Liverpool,1853-04-14,Dutch,Java Koerier,,
17640,J.G. Appel,Amsterdam,Liverpool,1853-05-12,Dutch,China,,
17641,P. Haagsma,Amsterdam,London,1853-11-19,Dutch,Doctrina et Amicitia,,
17642,W. Steffens,Amsterdam,Sourabaya,1840-10-11,Dutch,Egmond,,ADM
17643,Adam Ooms,Amsterdam,Spitsbergen,1769-04-06,Dutch,Agatha,,WHA
17644,Adam Ooms,Amsterdam,Spitsbergen,1770-04-07,Dutch,Agatha,,WHA
17645,J.S. Weerstand,Amsterdam,Suriname,1761-01-27,Dutch,Snoek en Both,Fregat,WIC
17646,J.A. van den Velden,Amsterdam,Suriname,1772-11-25,Dutch,Boreas,6th Rate,ADM
17647,Jan Pieter Hextel,Amsterdam,Suriname,1777-07-17,Dutch,Vr. Elisabeth & Anna Catherina,,MER
17648,Peter Parker,Anguilla,Carlisle Bay,1757-06-14,British,Woolwich,,RN
17649,John Dick,Anguilla,Halifax,1808-06-23,British,Penelope,5th rate,RN
17650,Patrick Fothringham,Anguilla,Kinsale,1767-01-20,British,Martin,Sloop,RN
17651,Peregrine Berlie,Anguilla,Plymouth,1764-06-22,British,Shannon,5th Rate,RN
17652,,Anjango,UK,1753-04-07,British,Pelham,,RN
17653,William Ranier,Anjango Road,Tillicherry Flag,1750-11-12,British,Vigilant,Ship o.t. Line,RN
17654,Henry Kent,Anjengo,Cape of Good Hope,1750-03-05,British,Dragon,,EIC
17655,Richard Hill,Anjengo,Portsmouth,1768-02-01,British,Worcester,,EIC
17656,John Tedd,Anjengo,St Helena,1751-03-05,British,Ilchester,,EIC
17657,,Anjengo,St Helena,1756-05-01,British,Pelham,,RN
17658,John Allen,Anjengo,UK,1766-05-03,British,Clive,,EIC
17659,Kievyt,Anjer,Sambvangan,1849-08-04,Dutch,Van Oldenbarneveld,,MER
17660,A. van Dalen,Anjer,Texel,1827-10-10,Dutch,Waterloo,Linieschip,MAR
17661,Richard Edwards,Annabona,Barbados,1755-05-18,British,Gosport,5th Rate,RN
17662,Percy Grace,Annabona,Sierra Leone,1823-01-03,British,Cyrene,6th Rate,RN
17663,Charles Woolsey,Annabona,St Helena,1781-09-18,British,Magnanime,3rd Rate,RN
17664,Thomas Male,Annabona,UK,1768-04-25,British,Hound,Sloop,RN
17665,John Hamilton,Anna de Chaces,Spithead,1769-11-22,British,Merlin,Sloop,RN
17666,C. Eeg,Anna Maria,Ambon,1825-05-26,Dutch,Pollux,,ADM
17667,,Antigua,Barbados,1754-10-16,British,Tryal,Sloop,RN
17668,Jonathan Falkingham,Antigua,Barbados,1754-10-16,British,Tryal,Sloop,RN
17669,James Cumming,Antigua,Barbados,1779-07-01,British,Aurora,,RN
17670,William Compton,Antigua,Bermuda,1803-02-19,British,Lilly,sloop,RN
17671,Julian Legge,Antigua,Charles Town,1753-07-13,British,Shoreham,6th Rate,RN
17672,Charles Phipps,Antigua,Delaware,1777-03-22,British,Perseus,6th Rate,RN
17673,A Scott,Antigua,Falmouth,1776-04-18,British,Lynx,Korvet,RN
17674,John Stuart,Antigua,Gibraltar,1805-06-14,British,Decade,5th Rate,RN
17675,Thomas Hankenson,Antigua,Lizard,1755-08-15,British,Badger,Snow,RN
17676,Skeffington Lutwidge,Antigua,New York,1780-08-25,British,Yarmouth,3rd Rate,RN
17677,George Bowen,Antigua,New York,1781-08-15,British,Montague,3rd Rate,RN
17678,William Scott,Antigua,New York,1782-08-18,British,Magicienne,5th Rate,RN
17679,James Douglas,Antigua,Plymouth,1784-01-25,British,Argo,5th rate,RN
17680,Captain Innes,Antigua,Portsmouth,1761-06-16,British,Arundel,6th Rate,RN
17681,Nathaniel Bateman,Antigua,Spithead,1764-06-06,British,Ludlow Castle,6th Rate,RN
17682,John Falkingham,Antigua,Spithead,1769-07-02,British,Lark,,RN
17683,Walter Stirling,Antigua,Spithead,1772-08-05,British,Portland,4th Rate,RN
17684,Thomas Pasley,Antigua,Spithead,1773-03-07,British,Seahorse,,RN
17685,James Cumming,Antigua,Spithead,1775-06-04,British,Deal Castle,6th Rate,RN
17686,James Worth,Antigua,Spithead,1775-06-12,British,Chatham,4th Rate,RN
17687,William OHara,Antigua,Spithead,1782-08-02,British,Janus,5th Rate,RN
17688,Sir William Chaloner Burnaby,Antigua,Spithead,1783-06-01,British,Diana,5th rate,RN
17689,Richard Fisher,Antigua,Spithead,1783-08-23,British,Caton,3rd Rate,RN
17690,Edward Cauldwell,Antigua,UK,1771-11-07,British,Squirrel,6th Rate,RN
17691,Peter Parker,Antigua ,England,1759-05-14,British,Woolwich,,RN
17692,A. Bezemer,Antwerpen,Batavia,1820-11-13,Dutch,Auguste,Fregat,Particulier
17693,,Antwerpen,Batavia,1824-02-22,Dutch,Vasco de Gama,,Particulier
17694,,Antwerpen,Batavia,1825-01-24,Dutch,Vasco de Gama,,Particulier
17695,C. Visman,Antwerpen,Batavia,1847-08-10,Dutch,Luciparas,,
17696,A. Bezemer,Antwerpen,Rio de Janeiro,1817-12-04,Dutch,Fanny,,
17697,A. Bezemer,Antwerpen,Rio de Janeiro,1818-08-19,Dutch,Fanny,,
17698,Jacobus Boelen,Arika,Guayaquil,1827-05-07,Dutch,Wilhelmina en Maria,Fregatschip,MER
17699,Jacobus Boelen,Arika,Karakokoa,1827-11-17,Dutch,Wilhelmina en Maria,Fregatschip,MER
17700,Thomas Parker,Ascension,Cape,1757-05-08,British,Princess Augusta,,EIC
17701,John Brooks,Ascension,Plymouth,1778-10-22,British,Belleisle,3rd Rate,RN
17702,J. F. D. Bouricius,Ascension,Rio de Janeiro,1850-05-23,Dutch,Prins Van Oranje,Fregat,Marine
17703,Hyde Parker,Ascension,Spithead,1764-06-08,British,Baleine,5th Rate,RN
17704,J. Alms,Ascension,Spithead,1784-05-13,British,Monmouth,3rd Rate,RN
17705,Digby Dent,Ascension,St Helena,1776-05-08,British,Arethusa,5th Rate,RN
17706,Francis Reynolds,Ascension,Towards Equator,1772-05-18,British,Weazle,Sloop,RN
17707,Richard Tiddeman,"Augustine Bay, Madagascar",Bombay,1758-08-29,British,Grafton,3rd Rate,RN
17708,Richard Hughes,"Augustine Bay, Madagascar",Calicut,1759-09-02,British,Falmouth,4th Rate,RN
17709,J.F.G. de la Perouse,Avatscha,Nouvelle Hollande,1787-10-01,French,La Boussole,,
17710,,Axim,Paramaribo,1767-11-10,Dutch,Vrouwe Johanna Cores,Fregat,MCC
17711,,Axim,Paramaribo,1769-11-08,Dutch,Vrouwe Johanna Cores,Fregat,MCC
17712,"J,F. van Capelle",Azoren,Hellevoetsluis,1783-09-03,Dutch,Ceres,,ADM
17713,C. Neurenberg,Azoren,Hellevoetsluis,1840-12-05,Dutch,Soerabaya,,
17714,Henry Blackwood,Azores,Cork,1805-04-12,British,Euryalus,5th Rate,RN
17715,A. Kuvel,Baai Fals,Straat Sunda,1793-09-24,Dutch,Amazone,Fregat,ADM
17716,H. Hartman,Baai Falso,Batavia,1789-07-31,Dutch,Bellona,,ADM
17717,,Baai Jacomel,Jamaica,1841-07-31,Dutch,Venus,Brik,MAR
17718,A.A. Buyskes,Baaij van Algoa,Caap de Goede Hoop,1792-08-07,Dutch,Havick,Fregat,ADM
17719,,Baai van Punto,Batavia,1786-10-22,Dutch,Ceres,,ADM
17720,ALBERTO DE OLANDO,BAHA DE CDIZ,BAHA DE CDIZ,1779-06-22,Spanish,EL GALLARDO,NAVO,
17721,JUAN RODRGUEZ DE VALCRCEL,BAHA DE CDIZ,BAHA DE CDIZ,1779-06-22,Spanish,SAN JULIAN,NAVO,
17722,Henry Dennis,Bahamas,Spithead,1756-05-28,British,Severn,,RN
17723,George Brisac,Bahia,False Bay,1795-09-09,British,Sphynx,6th rate  ,RN
17724,N.L. Koops,Bahia de Todos los Santos,Batavia,1833-12-12,Dutch,Ajax,Korvet,ADM
17725,H. Bruhn,Bali,Rotterdam,1832-11-06,Dutch,Anthony,,
17726,B. van der Tak,Bali,Rotterdam,1834-02-01,Dutch,Anthony,,
17727,Richard Doveton,Bali,St Helena,1779-06-14,British,Glatton,,EIC
17728,John Blanshard,Bali,St Helena,1781-03-11,British,York,,EIC
17729,Roger Mainwaring,Bali (Java),UK,1760-02-23,British,Tilbury,,EIC
17730,Pvt de la Croix ,Baltimore,Brest,1783-10-09,French,La Pintade,,
17731,G. W. Moll,Banda,Amboina,1838-06-27,Dutch,Hippomenes,Korvet,MER
17732,N.L. Koops,Banda,Ambon,1834-08-26,Dutch,Ajax,Korvet,ADM
17733,Ten Boekel,Bangoewangie,Amsterdam,1849-12-16,Dutch,Nassau,,
17734,F.J. Hoffman,Bangoewangie,Nieuwediep,1849-02-08,Dutch,Margaretha Simonette,,
17735,J.L. de Boer,Bangowangie,Brouwershaven,1848-12-26,Dutch,Oud Nederland,Fregat,
17736,D. Grim,Banjoemangie,Nieuwediep,1837-01-11,Dutch,Susanna,,
17737,S. Veenstra,Banjoewangi,Nieuwediep,1836-03-24,Dutch,Twee Cornelissen,,MER
17738,C. Visman,Banjoewangi,Nieuwediep,1848-01-31,Dutch,Luciparas,,
17739,M.B. Hoffman,Banjoewangie,Brouwershaven,1850-12-25,Dutch,Nieuw Lekkerland,,MER
17740,Kievyt,Banjoewangie,Holland,1850-01-26,Dutch,Van Oldenbarneveld,,MER
17741,S. Veenstra,Banjoewangie,Nieuwediep,1838-03-04,Dutch,Twee Cornelissen,,
17742,S. van Duijn,Banjoewangie,Nieuwediep,1840-01-30,Dutch,Javaan,,
17743,S. van Duijn,Banjoewangie,Nieuwediep,1841-02-01,Dutch,Javaan,,
17744,J. Schut,Banjoewangie,Nieuwediep,1842-12-18,Dutch,Walvisch,,
17745,C.P. Kuiper,Banjoewangie,Nieuwediep,1845-02-02,Dutch,Admiraal Jan Evertsen,,
17746,J. Hakker,Banjoewangie,Nieuwediep,1845-12-11,Dutch,Luciparas,,
17747,F.J. Hoffman,Banjoewangie,Nieuwediep,1848-02-14,Dutch,Margaretha Simonette,,
17748,J. Schut,Banjoewangie,Nieuwediep,1849-01-20,Dutch,Walvisch,,
17749,P. J. Kerkhoven,Banjoewangie,Nieuwediep,1850-01-10,Dutch,Doctrina et Amicitia,,
17750,J. Kloppenburg,Banjoewangie,Nieuwediep,1851-11-18,Dutch,Luciparas,,
17751,Brandligt,Banjoewangie,Tafelbaai,1849-11-24,Dutch,Rhijn,,
17752,H.J. Jolly,Banjoewangie,Texel,1847-02-03,Dutch,Boreas,6th Rate,MAR
17753,W.J. Jolly,Banjoewangie,Texel,1847-02-03,Dutch,Boreas,6th Rate,MAR
17754,F.H.J. Taski,Banjouwangie,Amsterdam,1849-02-19,Dutch,Stad Utrecht,,
17755,C. Visman,Banjouwangie,Nieuwediep,1843-11-21,Dutch,Catharina Johanna,,
17756,Cuvel,Bantam,Kaap de Goede Hoop,1788-11-20,Dutch,Valk,Brik,ADM
17757,James Cumming,Barbados,Downs UK,1779-08-30,British,Aurora,,RN
17758,William Parker,Barbados,Gibraltar,1805-06-14,British,Amazon,5th Rate,RN
17759,Henry Bellow,Barbados,Halifax,1768-03-31,British,Beaver,Sloop,RN
17760,F Reynolds,Barbados,Montserrat,1769-12-27,British,Quebec,5th rate,RN
17761,L.L. Spengler,Barbados,Nederland,1816-06-03,Dutch,Irene,Brik,
17762,William Parker,Barbados,Newfoundland,1806-07-21,British,Amazon,5th Rate,RN
17763,John Stuart,Barbados,Plymouth UK,1806-08-13,British,Decade,5th Rate,RN
17764,Peter Parker,Barbados,Spithead,1756-07-26,British,Woolwich,,RN
17765,,Barbados,Spithead,1780-01-09,British,Hornet,sloop,RN
17766,Issac George Manley,Barbados,Spithead,1789-05-13,British,Fairy,6th rate,RN
17767,James Cumming,Barbados (Cruising),Carlise Bay Barbados,1779-02-04,British,Aurora,,RN
17768,FRANCISCO ALESSON,BARCELONA,CARTAGENA,1846-12-12,Spanish,CORZO,FALUCHO,
17769,ANTONIO ZULUETA,BARCELONA,MARAN,1848-07-28,Spanish,AUDAZ,BERGANTN,
17770,ANTONIO ZULUETA,BARCELONA,VERACRUZ,1849-05-23,Spanish,AUDAZ,BERGANTN,
17771,Thomas Hardy,Barnstable Bay,Bermuda,1814-06-04,British,Ramilles,3rd rate,RN
17772,Francis Grant Gordon,Basse Terre,Antigua,1775-10-15,British,Argo,5th rate,RN
17773,Dulou,Basse Terre,Brest,1785-12-28,French,La Lourde,,
17774,William Parker,Basse Terre,Downs,1778-08-03,British,Deal Castle,6th Rate,RN
17775,Robert Faulkner,Basse Terre,Halifax,1794-04-30,British,Blanche,5th Rate,RN
17776,John Whitby,Basse Terre,Martinique,1800-10-25,British,Severn,,RN
17777,Sir Thomas Williams,Basse Terre,Plymouth,1808-02-20,British,Neptune,2nd rate,RN
17778,De Razily,Basse Terre,Rochefort,1768-06-25,French,Lisis,,
17779,Alexander Scott,Basse Terre,Spithead,1774-03-04,British,Lynx,Korvet,RN
17780,William Garnier,Basse Terre,Spithead,1776-08-03,British,Argo,5th rate,RN
17781,John Scaife,Basse Terre,UK,1760-08-24,British,Chesterfield,5th Rate,RN
17782,Edward Fellowes,Basse Terre Roads,Spithead,1797-05-22,British,Alarm,5th rate,RN
17783,John Harvey,"Basse Terre Road, St Kitts",Spithead,1801-06-21,British,Amphitrite,,RN
17784,A. Schaap,Batavia,Amsterdam,1834-08-06,Dutch,Rhoon en Pendrecht,,
17785,Hoffman,Batavia,Amsterdam,1835-12-08,Dutch,Henriette Clasina,,
17786,Hoffman,Batavia,Amsterdam,1836-12-08,Dutch,Henriette Clasina,,
17787,Hoffman,Batavia,Amsterdam,1837-02-09,Dutch,Henriette Clasina,,
17788,H. Rollfs,Batavia,Amsterdam,1838-06-10,Dutch,Stad Utrecht,,
17789,H. Rollfs,Batavia,Amsterdam,1839-06-08,Dutch,Stad Utrecht,,
17790,F.H.J. Taski,Batavia,Amsterdam,1844-09-20,Dutch,Stad Utrecht,,
17791,Duntjer,Batavia,Amsterdam,1845-01-20,Dutch,Nassau,,
17792,F.H.J. Taski,Batavia,Amsterdam,1845-11-24,Dutch,Stad Utrecht,,
17793,Duntjer,Batavia,Amsterdam,1847-02-22,Dutch,Nassau,,
17794,F.H.J. Taski,Batavia,Amsterdam,1847-10-04,Dutch,Stad Utrecht,,
17795,Duintjer,Batavia,Amsterdam,1848-08-19,Dutch,Nassau,,
17796,B. Bakker,Batavia,Amsterdam,1853-08-10,Dutch,Oost-Indi Packet,,
17797,J.G. Reinitz,Batavia,Amsterdam,1854-01-12,Dutch,Java Koerier,,
17798,A. Bezemer,Batavia,Antwerpen,1820-05-01,Dutch,Auguste,Fregat,Particulier
17799,A. Bezemer,Batavia,Antwerpen,1821-09-22,Dutch,Auguste,Fregat,Particulier
17800,J. Boelen,Batavia,Antwerpen,1821-12-16,Dutch,Delphina,,
17801,,Batavia,Antwerpen,1824-07-12,Dutch,Vasco de Gama,,Particulier
17802,A. Bezemer,Batavia,Antwerpen,1826-02-27,Dutch,Vasco de Gama,,Particulier
17803,C. Neurenberg,Batavia,Azoren,1839-10-03,Dutch,Soerabaya,,
17804,H. van Braam,Batavia,Bengalen,1767-07-31,Dutch,Vrouwe Cornelia Hillegonda,,VOC
17805,A. Schaap,Batavia,Brouwershaven,1839-01-21,Dutch,Rhoon en Pendrecht,,MER
17806,D. Charlau,Batavia,Brouwershaven,1842-08-30,Dutch,Europa,,MER
17807,C.J. Blok,Batavia,Brouwershaven,1848-01-06,Dutch,s-Gravenhage,,MER
17808,Jonker,Batavia,Brouwershaven,1849-11-07,Dutch,Maria Elisabeth,,
17809,W.H. Kramer,Batavia,Brouwershaven,1850-03-27,Dutch,Watergeus,,
17810,K. van de Erve,Batavia,Brouwershaven,1851-05-29,Dutch,Albrecht Beijling,,
17811,,Batavia,Brouwershaven,1852-08-04,Dutch,Europa,,
17812,P.J. Boursse Wils,Batavia,Brouwershaven,1852-11-18,Dutch,Jacoba,,
17813,M.B. Hoffman,Batavia,Brouwershaven,1853-03-04,Dutch,Nieuw Lekkerland,,
17814,D. Keus,Batavia,Brouwershaven,1853-09-01,Dutch,Europa,,
17815,,Batavia,Cadiz,1780-11-01,Dutch,Vrouwe Anthonetta Coenrardina,,VOC
17816,Thomas Parker,Batavia,Canton,1754-06-16,British,Princess Augusta,,EIC
17817,Philip Affleck,Batavia,Canton,1765-02-23,British,Argo,5th rate,RN
17818,William Parks,Batavia,Cape of Good Hope,1750-05-13,British,Marlborough,,EIC
17819,Jacobus Buijs,Batavia,Ceylon,1753-02-16,Dutch,Spaarzaamheid,,
17820,Jacob Pieter van Braam,Batavia,Ceylon,1785-05-07,Dutch,Utrecht,Fregat,ADM
17821,,Batavia,Ceylon,1788-07-10,Dutch,Ceres,,ADM
17822,Osterloo,Batavia,Den Helder,1841-06-01,Dutch,Elise,Fregat,ADM
17823,W.L. Veerman,Batavia,Diego Garcia,1819-03-21,Dutch,Admiraal Evertsen,,ADM
17824,H.P. Visser,Batavia,Dordrecht,1835-04-19,Dutch,Dortenaar,Fregat,Particulier
17825,Buyskes,Batavia,Europa,1809-11-29,Dutch,Havick,Fregat,
17826,Jan Bloem,Batavia,Gamron,1755-07-20,Dutch,Vlietlust,,
17827,Kievyt,Batavia,Grise,1849-12-07,Dutch,Van Oldenbarneveld,,MER
17828,Godfried Wargijn,Batavia,Hellevoetsluis,1756-01-13,Dutch,Jerusalem,,VOC
17829,Buijs,Batavia,Hellevoetsluis,1824-12-10,Dutch,Sirene,,ADM
17830,J.A. Pronk,Batavia,Hellevoetsluis,1836-09-24,Dutch,Maria,,
17831,F.H. Ampt,Batavia,Hellevoetsluis,1839-04-27,Dutch,Castor,Fregat,ADM
17832,J.H. de Raes,Batavia,Hellevoetsluis,1839-04-27,Dutch,Castor,Fregat,Marine
17833,R.J. Rijken,Batavia,Hellevoetsluis,1839-11-18,Dutch,Johanna,,
17834,Van der Plaat,Batavia,Hellevoetsluis,1841-05-16,Dutch,Nehalennia,Fregat,Marine
17835,W.A. Lans,Batavia,Hellevoetsluis,1841-05-16,Dutch,Nehalennia,Fregat,MAR
17836,C. Schoewert,Batavia,Hellevoetsluis,1845-10-06,Dutch,Neerlands Koning,,
17837,A. van Wijk Jurriaanse,Batavia,Hellevoetsluis,1846-03-29,Dutch,Loopuijt,Bark,
17838,J.G. Schr_der,Batavia,Hellevoetsluis,1846-07-31,Dutch,Willem,,
17839,D. Hofker,Batavia,Hellevoetsluis,1853-11-16,Dutch,Estafette,Bark,
17840,Bruhn,Batavia,Helvoetsluis,1835-12-08,Dutch,Batavia,,MER
17841,Bruhn,Batavia,Helvoetsluis,1836-10-06,Dutch,Batavia,,MER
17842,,Batavia,Holland,1839-04-26,Dutch,Unknown-08,,
17843,A. van Wijk,Batavia,Holland,1850-06-26,Dutch,Loopuijt,Bark,
17844,,Batavia,Kaap de Goede Hoop,1750-01-26,Dutch,Polanen,,ADM
17845,Hilde Hendricksz Hoek,Batavia,Kaap de Goede Hoop,1750-01-26,Dutch,Polanen,,ADM
17846,,Batavia,Kaap de Goede Hoop,1756-12-01,Dutch,Snoek,,ADM
17847,,Batavia,Kaap de Goede Hoop,1769-12-19,Dutch,Westerveld,,VOC
17848,,Batavia,Kaap de Goede Hoop,1772-02-24,Dutch,Welgeleegen,,VOC
17849,Engelbertus Lucas,Batavia,Kaap de Goede Hoop,1788-12-10,Dutch,Scipio,Fregat,ADM
17850,,Batavia,Kaap de Goede Hoop,1821-11-04,Dutch,Irene,Brik,MAR
17851,A.P. Klein,Batavia,Kaap de Goede Hoop,1851-05-12,Dutch,Magdalena,,
17852,A. van Dalen,Batavia,Kaapstad,1823-12-12,Dutch,Arend,,ADM
17853,P. Vis,Batavia,Kaapstad,1833-01-13,Dutch,Neerlands Koning,,
17854,N.L. Koops,Batavia,Kruisjende (bij Fanara),1834-10-16,Dutch,Ajax,Korvet,ADM
17855,A.P. Klein,Batavia,London,1852-08-22,Dutch,Magdalena,,
17856,F.C. Cars,Batavia,Macao,1851-10-04,Dutch,Ternate,,
17857,John Bladen Tinker,Batavia,Madras,1764-03-01,British,Panther,4th Rate,RN
17858,C. Eeg,Batavia,Mauritius,1827-04-01,Dutch,Pollux,,ADM
17859,Jacobus Arkenbout,Batavia,Middelburg,1789-11-12,Dutch,Veere,,VOC
17860,,Batavia,Nagasaki,1825-07-02,Dutch,Vasco de Gama,,Particulier
17861,,Batavia,Nagasaki,1833-06-23,Dutch,Prinses Marianne,,
17862,H.P. Visser,Batavia,Nagasaki,1834-07-01,Dutch,Dortenaar,Fregat,Particulier
17863,J. t Hart,Batavia,Nagepatnam,1755-08-01,Dutch,Hercules,,VOC
17864,J. Boelen,Batavia,Nederland,1820-09-26,Dutch,Delphina,,
17865,N.P. Blommendal,Batavia,Nederland,1826-01-30,Dutch,Dolfijn,Korvet,ADM
17866,,Batavia,Nederland,1827-08-16,Dutch,Abel Tasman,,
17867,W. Tieman,Batavia,Nederland,1831-03-17,Dutch,Rupel,Fregat,MAR
17868,F. Mathijssen,Batavia,Nederland,1835-01-12,Dutch,Anthony,,
17869,A. Plug,Batavia,Nederland,1836-02-14,Dutch,Prinses Marianne,,
17870,F. Mathijssen,Batavia,Nederland,1836-11-26,Dutch,Anthony,,
17871,N.L. Koops,Batavia,Nederland,1838-01-17,Dutch,Ajax,Korvet,ADM
17872,G. den Berger,Batavia,Nederland,1843-10-20,Dutch,Argo,5th rate,ADM
17873,,Batavia,Nederland,1843-12-14,Dutch,Koerier,,ADM
17874,Kramer,Batavia,Nederland,1845-09-22,Dutch,Nieuw Lekkerland,,MER
17875,W. Enslie,Batavia,Nederland,1845-12-05,Dutch,Zwaluw,Brik,MAR
17876,J.F.Q. Bouricius,Batavia,Nederland,1846-01-12,Dutch,Jason,,
17877,W.H. Kramer,Batavia,Nederland,1848-11-30,Dutch,Nieuw Lekkerland,,
17878,M.B. Hoffman,Batavia,Nederland,1849-11-11,Dutch,Nieuw Lekkerland,,
17879,Giezen,Batavia,Nederland,1849-12-05,Dutch,Koning Willem II,,
17880,,Batavia,Nederland,1849-12-18,Dutch,Sambre,Fregat,MAR
17881,C. Abrahams jr.,Batavia,Nederland,1850-10-09,Dutch,Amicitia,,
17882,I. Hensing,Batavia,Nederland,1850-11-02,Dutch,Buitenzorg,,MER
17883,J.B. Giezen,Batavia,Nederland,1850-11-02,Dutch,Buitenzorg,,
17884,A.P. Klein,Batavia,Nederland,1851-05-12,Dutch,Magdalena,,
